[step],(mean) curr-fish-count,(mean) curr-shark-count,(mean) curr-food-count
756,987.8571429,24.28571429,28.57142857
757,986.8571429,24.42857143,27.28571429
758,986.5714286,24.71428571,26.85714286
759,983.1428571,25,27.57142857
760,984.5714286,25.14285714,27.57142857
761,982.5714286,25.57142857,27.14285714
762,981.4285714,25.71428571,27.42857143
763,981,26.14285714,28.71428571
764,980.7142857,26.28571429,28.85714286
765,984.5714286,26.42857143,28.28571429
766,986.7142857,26.85714286,28.71428571
767,984.4285714,27,28.28571429
768,981,27,27.71428571
769,980,27.14285714,27.57142857
770,976.2857143,27.28571429,28.42857143
771,977.4285714,27.42857143,28.85714286
772,970.4285714,27.57142857,29.14285714
773,969,27.71428571,29.57142857
774,971.5714286,27.57142857,29.57142857
775,968.1428571,27.42857143,29.57142857
776,963.4285714,27.71428571,29.57142857
777,962.4285714,27.71428571,29.85714286
778,964.4285714,27.57142857,29.28571429
779,969.2857143,28.28571429,28.85714286
780,969.2857143,28.42857143,28.57142857
781,970.1428571,28.28571429,29.28571429
782,969.2857143,28.71428571,29.28571429
783,971.4285714,28.85714286,30.71428571
784,972.1428571,29,29.85714286
785,974.4285714,29,30.42857143
786,977.4285714,28.71428571,30.71428571
787,973.2857143,28.57142857,30.28571429
788,970.7142857,28.71428571,31.28571429
789,971.7142857,28.85714286,32.57142857
790,975.4285714,29.14285714,33.14285714
791,977.2857143,29.42857143,33.42857143
792,971.2857143,29.85714286,34.71428571
793,973,30,34.42857143
794,979.2857143,30,35
795,976,29.85714286,34.85714286
796,974.4285714,30.42857143,35.28571429
797,972.5714286,30.85714286,35.42857143
798,970.4285714,31.14285714,36.14285714
799,970.4285714,31.71428571,36.14285714
800,972.1428571,31.85714286,36.14285714
801,971.5714286,32,36.57142857
802,971.1428571,31.85714286,35.85714286
803,972.1428571,32.42857143,36.71428571
804,975.1428571,32.71428571,36.28571429
805,972,33,37.42857143
806,969.7142857,33.28571429,38
807,968.1428571,33.71428571,38.42857143
808,969.7142857,34,37
809,966.2857143,34.57142857,38.14285714
810,963.5714286,35.28571429,39
811,964,35.57142857,40.14285714
812,963.4285714,35.71428571,41.14285714
813,962.2857143,35.71428571,42
814,959.5714286,35.85714286,41.85714286
815,960.7142857,36.28571429,42.28571429
816,962.2857143,36.14285714,43.42857143
817,963.7142857,36,44.28571429
818,962.1428571,36.14285714,44.14285714
819,959.8571429,36.28571429,44.71428571
820,961,37,46.42857143
821,957.5714286,37.28571429,46.42857143
822,959,38.14285714,47.57142857
823,956,38.14285714,47.85714286
824,956.1428571,38.42857143,47.42857143
825,959.4285714,39.14285714,47
826,957.5714286,39.14285714,48.42857143
827,957,39,49
828,956.8571429,39,49.71428571
829,956.2857143,39.57142857,50.14285714
830,953,40.14285714,51.14285714
831,951.5714286,40.57142857,51.71428571
832,954.2857143,40.85714286,52
833,954.7142857,40.71428571,52.14285714
834,949.7142857,41,52.57142857
835,946.7142857,40.85714286,53.42857143
836,946.5714286,40.85714286,54.42857143
837,946.1428571,41.14285714,54.28571429
838,941.7142857,41.57142857,53.85714286
839,941.7142857,41,53.85714286
840,943.4285714,41.85714286,53.57142857
841,940.7142857,42.14285714,53.71428571
842,939.2857143,42.71428571,54.85714286
843,937.2857143,43,55
844,931.7142857,43.57142857,56
845,929.8571429,44,56.57142857
846,929.2857143,44.14285714,57
847,928.4285714,44.14285714,57.28571429
848,929.4285714,44.42857143,57.85714286
849,925.8571429,44.85714286,58.71428571
850,923,45.28571429,58.57142857
851,920.8571429,45.71428571,59
852,919.4285714,46.28571429,60.14285714
853,915.2857143,46.28571429,60
854,911.7142857,46.57142857,60
